,260226_Hpos_000_AnalyticalBlnk.mzML,260226_Hpos_001_AnalyticalBlnk.mzML,260226_Hpos_002_AnalyticalBlnk.mzML,260226_Hpos_005_MethodBlnk.mzML,260226_Hpos_006_MethodBlnk.mzML,260226_Hpos_007_QC_cond.mzML,260226_Hpos_008_QC_cond.mzML,260226_Hpos_009_QC_cond.mzML,260226_Hpos_010_QC_cond.mzML,260226_Hpos_017_QC.mzML,260226_Hpos_018_spelt_t8_A.mzML,260226_Hpos_019_buckwheat_t1_C.mzML,260226_Hpos_020_wheat_t8_H.mzML,260226_Hpos_021_spelt_t1_D.mzML,260226_Hpos_022_buckwheat_t1_E.mzML,260226_Hpos_023_wheat_t1_G.mzML,260226_Hpos_024_dinkel_t8_C.mzML,260226_Hpos_025_wheat_t1_A.mzML,260226_Hpos_026_wheat_t8_G.mzML,260226_Hpos_027_1_t0.mzML,260226_Hpos_028_buckwheat_t8_D.mzML,260226_Hpos_029_wheat_t1_H.mzML,260226_Hpos_030_wheat_t8_A.mzML,260226_Hpos_031_maize_t8_G.mzML,260226_Hpos_032_buckwheat_t1_F.mzML,260226_Hpos_033_buckwheat_t1_D.mzML,260226_Hpos_034_maize_t8_H.mzML,260226_Hpos_035_spelt_t8_D.mzML,260226_Hpos_036_maize_t1_G.mzML,260226_Hpos_037_wheat_t1_B.mzML,260226_Hpos_038_wheat_t8_B.mzML,260226_Hpos_039_maize_t8_E.mzML,260226_Hpos_040_spelt_t1_A.mzML,260226_Hpos_041_dinkel_t1_B.mzML,260226_Hpos_042_maize_t1_F.mzML,260226_Hpos_043_maize_t1_H.mzML,260226_Hpos_044_buckwheat_t8_E.mzML,260226_Hpos_045_dinkel_t8_B.mzML,260226_Hpos_046_buckwheat_t8_C.mzML,260226_Hpos_047_dinkel_t1_C.mzML,260226_Hpos_048_buckwheat_t8_F.mzML,260226_Hpos_049_maize_t8_F.mzML,260226_Hpos_050_maize_t1_E.mzML,260226_Hpos_051_QC.mzML,260226_Hpos_052_spelt_t1_A.mzML,260226_Hpos_053_1_t0.mzML,260226_Hpos_054_buckwheat_t1_F.mzML,260226_Hpos_055_dinkel_t1_B.mzML,260226_Hpos_056_wheat_t1_H.mzML,260226_Hpos_057_buckwheat_t1_C.mzML,260226_Hpos_058_maize_t1_E.mzML,260226_Hpos_059_wheat_t1_A.mzML,260226_Hpos_060_wheat_t1_G.mzML,260226_Hpos_061_maize_t8_E.mzML,260226_Hpos_062_buckwheat_t1_E.mzML,260226_Hpos_063_dinkel_t8_C.mzML,260226_Hpos_064_dinkel_t8_B.mzML,260226_Hpos_065_maize_t8_H.mzML,260226_Hpos_066_maize_t8_G.mzML,260226_Hpos_067_maize_t1_G.mzML,260226_Hpos_068_maize_t8_F.mzML,260226_Hpos_069_dinkel_t1_C.mzML,260226_Hpos_070_buckwheat_t8_C.mzML,260226_Hpos_071_spelt_t8_A.mzML,260226_Hpos_072_maize_t1_F.mzML,260226_Hpos_073_buckwheat_t8_D.mzML,260226_Hpos_074_buckwheat_t8_E.mzML,260226_Hpos_075_spelt_t8_D.mzML,260226_Hpos_076_spelt_t1_D.mzML,260226_Hpos_077_wheat_t8_H.mzML,260226_Hpos_078_buckwheat_t1_D.mzML,260226_Hpos_079_wheat_t1_B.mzML,260226_Hpos_080_wheat_t8_G.mzML,260226_Hpos_081_wheat_t8_B.mzML,260226_Hpos_082_wheat_t8_A.mzML,260226_Hpos_083_maize_t1_H.mzML,260226_Hpos_084_buckwheat_t8_F.mzML,260226_Hpos_085_QC.mzML,260226_Hpos_086_spelt_t8_A.mzML,260226_Hpos_087_dinkel_t8_C.mzML,260226_Hpos_088_wheat_t8_A.mzML,260226_Hpos_089_maize_t8_E.mzML,260226_Hpos_090_spelt_t1_D.mzML,260226_Hpos_091_buckwheat_t8_F.mzML,260226_Hpos_092_dinkel_t1_B.mzML,260226_Hpos_093_maize_t1_G.mzML,260226_Hpos_094_wheat_t1_B.mzML,260226_Hpos_095_1_t0.mzML,260226_Hpos_096_buckwheat_t8_C.mzML,260226_Hpos_097_buckwheat_t1_C.mzML,260226_Hpos_098_maize_t1_H.mzML,260226_Hpos_099_spelt_t1_A.mzML,260226_Hpos_100_buckwheat_t8_E.mzML,260226_Hpos_101_buckwheat_t8_D.mzML,260226_Hpos_102_wheat_t8_G.mzML,260226_Hpos_103_dinkel_t1_C.mzML,260226_Hpos_104_buckwheat_t1_E.mzML,260226_Hpos_105_dinkel_t8_B.mzML,260226_Hpos_106_buckwheat_t1_D.mzML,260226_Hpos_107_spelt_t8_D.mzML,260226_Hpos_108_maize_t1_E.mzML,260226_Hpos_109_wheat_t8_H.mzML,260226_Hpos_110_maize_t8_F.mzML,260226_Hpos_111_maize_t1_F.mzML,260226_Hpos_112_wheat_t1_H.mzML,260226_Hpos_113_wheat_t1_G.mzML,260226_Hpos_114_maize_t8_G.mzML,260226_Hpos_115_wheat_t8_B.mzML,260226_Hpos_116_maize_t8_H.mzML,260226_Hpos_117_buckwheat_t1_F.mzML,260226_Hpos_118_wheat_t1_A.mzML,260226_Hpos_119_QC.mzML,InchiKey
1380 | 326.2692mz | 0.92min,,,,9387,2715,,,,,152.1,2178,,791.7,,,,1779,,,,,,851.3,2673,,,210.5,,,,,4292,,,,,,,,,428.3,1853,,,,,,,,,,,,4469,,1997,,637.6,4281,,309.3,,,386.1,,,,,,265.8,,,,,1218,,1207,,808.9,717.2,293.7,3657,,858.4,,,,,,,,,206,,,,,,,,,540.4,256.8,,,,2015,103.3,183.6,,,,
1381 | PGF2alpha-[d4] | [M + H3N + H]+,,,,,,7501,7159,5821,6872,6347,380.1,135,167.7,,244.5,3733,634,,321.2,,,,,,,1246,,293.8,705.6,,247.5,,,,,,,,,10020,,,,5890,566.1,,1686,239.6,784.3,2861,151.2,689.1,2911,,5316,1738,,104.5,,2065,,49950,,1465,765.2,,,725.9,1533,286.6,9038,1201,635,1770,704.7,772.8,,9015,1651,2231,449.6,,17500,,12760,2548,34020,,,59320,17540,36920,,,,16820,74780,,65080,1714,18770,2440,,15360,23060,3676,,2808,122.3,32710,24740,14690,PXGPLTODNUVGFL
1382 | 302.0154mz | 0.92min,,,,,,,,,,,1199,,,,,,1427,,,579.2,,,,,,,,,,,2413,,,,,,,271.5,,,,,,,,936.2,,,,,,,,,,2011,,,,,,,,1756,,,,124.8,,,,,,2643,,,,,1829,1682,,,,,,,,646.7,,,,,,,,,,610.6,,634.9,,,,,,,,2327,,,,,
1383 | 521.4396mz | 0.77min,,,,35430,18480,8966,8714,9782,9517,9549,5507,,9762,,,,4237,,135000,,13570,,5121,164500,,,6521,3954,,,4674,8078,,,,,5293,8266,10890,3028,5220,10550,,9130,,,,130.3,,,,809.4,,7447,,3771,5530,10540,91860,,16640,,19970,7548,,13970,5374,5231,,10270,,134.5,126900,5162,5225,,5479,9356,5574,3944,4177,8037,,5325,972.9,,3532,1157,20720,,126.9,677.8,5155,7984,132000,3740,2581,7679,,3589,,9605,16390,,170.1,,165700,4992,12470,,4493,8847,
1384 | tert-Butyl 4-[(3-methoxypropyl)amino]-1-piperidinecarboxylate | [M + H]+,,,,,,22760,23780,22490,23980,23320,14580,,78370,,,6839,48200,,41630,520.3,23950,,74420,9694,,,27410,80230,5068,,44020,29300,,,107.6,,3544,94360,17370,,53960,34060,,23770,424.5,1652,,,,,130.8,119.3,7842,29280,,47130,96900,26270,10540,4855,32460,203.5,18640,13780,386.7,23060,2383,79500,101.3,81030,,,42580,44520,72930,116.1,54630,23270,13800,47050,71650,28910,1039,55490,492.6,4825,386.3,5873,16990,7538,3961,2751,3072,24860,42330,6517,,97990,8739,76700,7009,77930,32770,12870,1505,6664,16610,44580,26650,6750,2498,22720,NDXIXCCMHCXBKO
1385 | Euhalothece-362 | [M + H]+,,,,,,119000,112300,113200,115600,114700,,1588000,,,1776000,5868,,,,,25390,,,,1582000,1821000,1024,,8013,,,,,,10420,12970,20700,,29360,701900,32470,147.3,1953,109000,,,1560000,,,1426000,9053,,5691,,1674000,,,989.9,,7490,,738500,27810,,11330,24050,22690,,,,1582000,,,,,13020,32800,104500,,,,,,31540,,7643,,,27010,988700,11820,,20920,24730,,311700,1325000,,1093000,,8342,,181.4,9413,,5530,,,841.5,1179000,,103100,LFVNAUNRQHDMMU
1386 | CAR 25:3 | [M + H]+,,,,161600,83240,15850,14930,15190,16560,16250,23960,,37400,,7859,,10480,591.6,243300,96.48,25620,639.2,15910,249300,,,31260,16210,,129.4,10260,13500,400.1,201.8,,,8112,22060,57490,19980,10330,43240,,15060,653.3,907.9,,958.9,397.5,,,6124,,15040,323.2,10790,22320,20560,259500,,29320,4847,35790,20430,,28340,9118,13640,148,33630,,5552,360500,9986,14380,125.4,10930,15270,22920,10940,17710,15260,3855,10730,8626,,13940,7694,36750,313.5,4595,9969,9117,47290,243000,6104,15960,22750,245.1,16370,1603,39390,30130,631.4,5716,,264000,10460,21900,349.6,20510,14980,LQCMNKAAYOVJIM
1387 | 324.2900mz | 0.78min,,,,4478,4548,4702,4735,5083,4376,7207,6696,,28370,,,,27170,,2416,,829,,22390,3269,,,1550,33300,,,8019,1490,91.06,,,,4233,37090,2967,425.4,3252,2215,,6572,1527,,,126.9,109.6,,150.8,122,,4526,,30230,40840,1142,3614,,5399,482.3,3434,19200,163.6,608.8,5300,34700,406.2,31580,,585.7,11200,19400,23450,133.6,3816,5636,20660,31070,22780,4328,3893,2625,1531,,1464,2252,2086,2377,423.9,5504,4650,1437,10990,2731,,39830,1592,31090,753.8,29440,4585,2165,2622,,2152,18080,4468,2178,1301,5886,
1388 | 153.0741mz | 0.91min,,,,,,26070,25310,25980,26700,25280,2527,212100,10750,18100,213800,13620,8033,19210,1437,22280,32900,24780,14130,,116900,161900,735.8,13160,16750,22740,7087,1656,27440,18530,21070,18030,9888,14610,31400,104600,33300,1315,19660,26920,28180,28720,200200,22380,27330,209800,20130,22790,15090,3047,164800,5993,16090,927.8,,16450,2143,114900,30350,4635,17900,31200,26390,12960,21130,12160,159200,22480,3572,4627,11930,19540,33180,26820,5284,7665,12140,3255,21080,30630,22680,14960,20670,31660,27770,43500,17880,21870,25860,30990,2826,49740,58820,15130,160500,13090,17470,10870,2506,19600,24820,13510,,5028,1502,107800,24240,25440,
1389 | 303.0503mz | 0.91min,,,,,,,,,,,,,,,843.2,,,,,,,,,,949,657,,,,,,,,,,,,,,,,,,,,,2833,,,,,,,,4073,,,,,,,,,,,,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,,2702,,1004,,,,,,,,,,,2165,,,
1390 | 212.1184mz | 0.91min,,,,,,,,,,,7382,,,,,1623,,,376.2,,,,,11790,,,,,,,139.7,,,,,,,,,,,,,,,,,,,,,,1559,,,,,,6411,,,,,6688,,,,,,,,,295.8,,,,,,7036,,,,,,,,,,,,,,,,301.2,,,,,,,,,,,2333,6029,,,,,,
1391 | 611.1609mz | 0.92min,,,,,,,,,,,,1323,,,12560,,,,,,,,,,8485,9665,,,,,,,,,,,,,,1303,,,,,,,11840,,,2180,,,,,15280,,,,,,,691.4,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,964.6,,,,,,,12980,,5571,,,,,,,,,,,8540,,,
1392 | 147.0554mz | 0.94min,,,,,,,,,,,,,160.9,532.8,,706.4,,1548,,10610,,1253,170.5,,,,,129.8,708.9,1531,115.5,,2322,839.4,80.18,130.8,,205,,,,,,,870.8,6077,,126.2,228.2,,107.1,156.7,454.1,,,,,,,721.3,,52.5,,,,,,,116.6,127.8,,120.7,,137.8,,393.9,,,,,,,97.94,,,1139,158.1,2879,,,147.4,172.8,,,,,,,,143.2,,,,,153.8,167.9,,,,,292.9,,
1393 | 281.1069mz | 0.93min,,,,,,3152,2023,2507,3075,2772,5317,,2167,649.2,476.2,2578,5552,484.9,215.5,1573,11510,1572,1673,,208.4,1846,1096,5718,2426,2154,4853,242.4,1139,288.2,2125,1930,11480,6961,12130,698.3,10920,800.5,1023,5510,3564,1136,321.3,699.9,2871,487,1557,1848,3788,782.3,1675,5231,4052,1230,,815.3,266.2,1646,11690,5186,998.1,11310,12100,5635,683.4,2113,552.1,1145,755.3,4962,454.7,908.4,10590,2501,3463,2394,1317,733.3,996.2,10480,1543,4389,1873,3092,12180,538.3,1627,3248,12820,6264,,2440,1468,6559,735,5400,1815,3086,1002,675.6,2146,4802,,3689,400.2,3433,596.7,4929,
1394 | Alaremycin | [M + H]+,,,,,,3979,4162,4211,3664,3897,330.8,35960,12630,19030,37580,7619,4801,19620,2773,29480,,28560,9595,,23410,24320,204.8,4977,12650,22800,3276,418.4,25760,16720,22370,19580,910.1,5653,231.1,15150,207.1,274,20870,1949,25090,37250,16130,20670,27500,13780,20410,21770,8597,1095,21420,3226,6656,606.1,,12380,1276,15300,,182.7,23100,165.9,237.5,4857,21570,12870,13530,22580,5468,1810,9717,19520,167.4,3019,,4281,9392,242.4,20910,,20270,11880,21410,38430,169.7,4690,16270,19630,280.5,129.9,5515,5163,11620,1261,5315,5209,18770,12300,1314,18660,25920,8417,,2633,206.4,9600,22080,2354,JRLAQUJSYKXZFV
1395 | 269.9591mz | 0.92min,,,,,,454.7,,,,,,915.2,,4567,533.8,450.3,,6360,,,,4885,,,4343,584.9,,,1515,7631,,,7345,6158,6747,4955,,,,2958,,,7768,285.5,4771,,1457,5340,4042,1027,5105,5237,315.4,,2910,,,,,1301,,2511,,,7339,,,,6831,,522.2,4928,,,,5800,,,,,,,4020,,4050,444.9,3085,,,,3111,1712,,,,,293.5,,,,3321,,,4278,4023,155.7,,,,,3193,,
1396 | 584.2855mz | 0.92min,,,,,,,,,,,,,,,,4274,,,,,,,,,,,,,1354,,,,,,,,,,,,,,,,,,,,,,,,4572,,,,,,,885.8,,,,,,,,,,,,,,,,,,,,,,,,,,1276,,,,,,,,,,,,,,,,,,,,3399,,,,,,,
1397 | CATECHIN | [M + H]+,,,,,,11190,5218,4736,10180,11080,,32820,,,88210,4149,,,,,90060,,,,44440,50050,,,326.6,,,,,,193.3,193.3,70240,,19150,11920,34150,,,8337,,,67000,,,78510,147.4,,1912,,111300,,,,,122.8,,38210,16760,,,87710,72420,,,,109100,,,,,,30540,3944,,,,,,104000,,2162,,,17930,76850,398.6,,71030,23060,,10000,116400,,44530,,,,,,,1757,,,,118600,,18010,PFTAWBLQPZVEMU
1398 | 250.1288mz | 0.91min,,,,,,,,,145.8,,,,4868,1369,,358.8,930.3,3156,333.7,6675,,3359,1797,,,,,226.2,717.7,1391,232.1,,1256,565.5,3025,1738,,252.2,,317,,,1716,,1560,9384,,327.3,1229,,1042,1072,892.9,,,219.3,1153,,,1132,,230.9,,,1914,,,184.3,1771,3994,,1263,623.8,,2862,856,,,,479.6,2813,,2500,,604,2396,1459,10350,,,348.5,1000,,,322.6,,,268.8,,696.5,831.1,4146,,1216,2235,1591,,213.7,,,894.4,,
1399 | 205.0289mz | 0.92min,,,,,,1214,534.2,864.1,882.9,1381,936.8,,3567,827.4,,584.7,3630,456.8,1536,2063,188.3,812.7,3539,,,,2348,2985,887.7,171.9,1899,2708,1734,157.6,827.9,635.4,240.4,3568,1136,160.3,793.5,2236,1032,1103,1108,4628,,748.6,1499,,264.1,1528,688.3,2844,,3244,4087,2423,,714.9,2291,235.8,429.9,738,1414,,301.1,3033,1137,3127,,338.3,1935,2288,3389,980.9,280.5,324.3,712.2,3437,3122,2518,216.4,205.3,530.6,553.3,459.4,4658,717.8,,250.1,608.5,561.2,277.1,1727,,,3542,,2794,789,3534,2148,1078,1203,591.9,,1790,2217,,1333,489.5,
1401 | 137.9876mz | 0.92min,255,66.55,51.2,,,11260,6727,6416,6358,8157,9965,4158,17760,5655,5613,4624,24730,7529,13030,27880,7170,8836,23500,9987,9799,6501,19720,24110,7341,7397,17330,24680,13220,5885,5728,4813,5380,24020,10590,6750,10580,21300,6997,8851,9604,25060,5950,5347,6241,5395,4403,6208,4641,19880,6539,16690,20470,23470,12530,6067,18010,5738,7148,9857,6184,5926,7166,21510,6723,17560,4823,4254,10210,15570,23360,5437,7516,7119,11330,21040,25830,18170,5653,6888,4658,3682,3805,18820,4483,2914,3058,5345,4666,6143,11960,2482,3207,13560,2938,13750,3634,14730,19730,5268,6569,4034,9525,22270,22870,5383,5330,6107,
1402 | 241.9641mz | 0.93min,,,,,,,,,,,,,,,,,,91.85,,5028,,,,,,,,,,,,,379.4,,,,,,,,,,,,159.9,4741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838,,,,,,,,,,,,,,,,,,,,,,,,,
1403 | 180.9822mz | 0.92min,,,,,,454.6,,,,,,,1927,482.9,,148.8,1412,631.8,,3910,,148.8,1612,,198.5,,,2563,542.4,474.5,1349,451.8,1748,935.1,725.4,104,,2712,,183.3,,321.8,1153,,915.8,1985,,299,239.4,,116.5,273.1,,282,,1434,2243,,,442.1,,,,224.8,752.1,,,2267,652.6,2252,,116.8,301.2,1301,1441,374.1,,,253.8,1580,1807,,800.4,,166.9,132.6,,2588,,,141.6,,,,275,,,1133,,1304,,1415,171.7,190.9,414.9,,,1450,,,,,
1404 | N-Acetylmannosamine | [M - H2O + H]+,66.66,63.01,62.8,,,11390,10210,11890,10720,11160,2002,64650,26180,84950,51910,17540,12470,84790,12680,48130,453.2,89620,21010,,59360,85700,3592,11810,26540,46690,9695,1501,50520,74870,81130,69450,1512,12610,765.5,33680,346.1,4651,77180,10410,47190,60710,27370,40070,52010,32150,42190,42650,18600,2812,31040,10310,13790,2514,,25840,3957,36180,702.3,1130,67570,329.4,1360,10770,42440,25960,35580,45370,11950,7012,19010,60930,,10300,1154,10960,17450,3249,42580,339.8,43930,24950,43590,67460,1521,17980,36580,39350,2131,177.1,11960,12970,33550,11980,26200,10520,38410,26260,3762,40540,50100,19070,,9366,3409,23560,44240,9704,OVRNDRQMDRJTHS
1405 | 512.3584mz | 0.92min,,,,,,,,,,,185.9,,687,,,,1221,,,,,,748.1,398.6,,,250.6,,,,,995.2,,,,,,,,,,944.9,,250.6,,,,,,,,,,1674,,1061,236.7,350.2,1387,,808.2,,,606.3,,,,,,451,,,,,425.4,,,,478.3,1034,412.4,1475,,183.9,,,,,,,,,,,,,,,,,,422.3,792.1,,,,1478,,530.1,,,,
1406 | 154.9666mz | 0.92min,,,,,,296.8,,,,,395,,2712,,,,2961,226.5,1280,6103,,304.1,2181,,,,155.6,3710,254.5,146.9,2280,897.1,1368,,,,262.4,4032,753.9,,1019,763,371.5,260.8,1192,6396,,,,,124.9,,,787.7,,2558,4000,175.7,,451.3,390.9,,177.7,454.4,141.4,,,2965,224.9,3271,,,974.1,1841,2519,119.9,,235.6,444.9,2901,3144,995.4,,,,,,5068,,,,,,,1227,,,2412,,2057,,2784,420.1,161.2,310.6,,,2886,165.7,,,,
1407 | 360.2385mz | 0.78min,,,,,295.9,981.4,380.8,317.9,422.6,381.9,3588,,1212,,,,4552,,,,,,1812,3421,,,2559,144.7,,134,417.5,1395,121.7,,,,1979,443,,597.6,457.6,2500,,1076,,,,,121,,154.1,145.4,,4831,135.9,3816,548.7,1271,4323,,433.3,733.5,201.9,2102,168.5,,1067,223.3,88.22,2404,,174.6,,819.5,1955,212.9,398.3,703.7,905.1,3820,1883,5523,275.5,576.1,,,1218,,,,1233,705.3,1624,,325.5,1161,,947.7,,,302.2,2113,3166,2440,772.3,,5692,316.5,1691,218.5,348.7,384,
1408 | 342.2278mz | 0.65min,,,,4331,1499,3132,5033,1973,2685,1216,2800,,2372,,,,7269,,395.2,,977.7,119.1,1517,2280,,,1398,2292,,107.5,725.8,2415,111.3,,,106.5,2204,522.9,,1136,3566,2066,,2159,240.6,,,,237.4,,192.6,293.9,,2584,202.4,5972,2434,1846,1637,,2504,2619,659.9,2655,285.2,516.4,3370,1671,114.2,5013,587,923.9,,2035,1016,430.7,5431,2136,4165,2010,1359,2278,324.6,5447,433.5,,1322,,227.9,,391.6,1575,3307,298.5,,3803,366.2,837,409.5,283.7,294.6,497.7,1605,3499,1790,,3802,801.9,1161,655.5,1291,2570,
1409 | 279.0835mz | 0.93min,,,,,,,,,,,,,,,,,,,,,6212,,,,,,,,,,,,,,,,,,351.3,,8010,,,,,,,,,,,,,,,,,,,,,,3900,,,2818,,,,,,,,,,,4026,,,,,,,7616,,,,,1355,,,,,2896,,,,,,,,,,,,,,,,,,,
1410 | 296.0192mz | 0.94min,,,,,,,,,,,,191.9,,791.8,,,,2313,,762.2,,1249,,,1782,,,,415,1727,,,3898,1060,1349,368.4,,,,1017,,,2037,,2448,1494,,1637,1552,253.7,323.3,1642,,,,,,,,434.6,,,,,822.4,,,,2165,,,830.5,,,,691.3,,,,,,,574.7,,179.7,,,305.3,,,,176.5,,,,,,,,,,,,724.3,1258,,,,,,343.9,,
1411 | 114.9715mz | 0.92min,,,,,,810.4,,215.9,447.6,267.7,1150,153.2,3113,720.6,,346.6,4538,1268,446.6,7121,251.6,1170,4723,,,,3476,4999,1789,393.9,3068,4608,3267,908.9,525.4,252.2,243.7,5015,1606,189.5,1795,4434,1075,1535,2103,6167,,427.9,658.7,,508.9,1101,882,5014,,3843,4675,5074,441,1408,4080,266.8,925.6,2102,993,529.3,601.9,4475,1780,4693,,332.6,1465,3492,5637,1160,264.3,1239,2130,4862,5934,4271,200.9,411.8,456.9,773.3,340.1,4083,236.4,,424.2,633.7,,436.1,1637,178.7,,3257,,3283,,3780,4112,1062,1369,756.5,482.4,4613,5036,,570.3,891.9,
1412 | 450.1620mz | 0.92min,,,,,,5730,4954,5178,5043,1657,,2093,,,5466,,,,,,768.4,,,,6601,5991,,,,,,,,,,,976.1,,,,,,,4636,,,7035,,,4109,,,,,5967,,,,,,,,226.4,,,497.3,2544,,,,2891,,,,,,,4571,,,,,,,,,,,,374.1,,,2259,473.2,,,3566,,3646,,,,,,,,,,,5650,,3914,
1413 | 96.9610mz | 0.93min,,,,,,,,,,,234,,940,,,,2277,,,202.5,,,1100,,,,1429,1917,,,1524,1596,,,,,,2507,478.2,,,1561,,221.9,,466.5,,,,,,,,1880,,712.3,1695,1118,,,884.5,,,202.7,,,,1703,,1524,,,588.8,1909,1726,,,,,1599,2089,1732,,,,,,1725,,,,,,186.1,358.4,,,796.8,,923.1,,1584,1304,,,,,2976,1828,,,233.6,
1414 | 270.1093mz | 0.94min,,,,,,2345,504.8,887.1,281.5,572.4,807.8,16140,,89,26980,,,86.52,,,553.8,,,,12040,19280,,,101,903.1,,,,1044,,,,,,1026,,,,1203,,,14570,586.4,,20930,,334.8,,,26680,,,,,,,586.5,,1848,,287.5,,,,,20380,1743,,240.3,,,,937.1,1746,,,,125.8,,2184,,2073,,,18260,,,,501.7,,1246,23780,,17480,,,,,,,,,,,13870,152.7,899.4,
1415 | 233.9823mz | 0.93min,,,,,,290.3,224.2,,262.4,497.8,,217.7,1035,1525,,157.1,1899,612.8,,1992,,2225,1888,,512.1,259.2,716.8,1904,1420,2460,246,1454,2976,864.9,1997,1118,,1262,,1405,,1390,2353,1305,2328,1988,302.6,1650,373.4,239.6,594.8,1955,481.2,684.5,1091,832.3,1550,1235,,1292,669.5,2139,,,2666,,,2201,2781,1586,260.8,1598,,339.6,1576,1745,,971.9,,1974,2176,1030,803.9,,1663,930.2,1049,1596,,274.7,828.8,725,,,,56.72,,1244,,974.9,1146,1290,1168,2051,2269,471.8,,991.3,1323,1071,1461,457.8,
1416 | 246.1702mz | 0.91min,,,,,,483.5,,247.1,,264.5,460.3,,691.3,,,,1056,,,,,133,587.1,476,,,226.8,,,,233.1,1455,,,150.1,,,,,1381,472.2,888.6,260,233.8,,,,135.8,149.8,,495.4,300.2,,2029,,942.5,816.3,586.3,,,713.8,869.7,,515.8,189.9,,244.4,144.4,,815.1,,661.8,272,284.8,919.3,160.2,546.8,246.7,256.4,1111,706.2,1578,230.7,439.9,349.8,,693.8,,,,800.4,583.2,289.7,,,628.5,,,,,1021,968.9,686,1048,815.9,,438.8,225.3,417.6,,1520,,
1418 | 324.0141mz | 0.93min,,,,,,446.5,,,,,,5791,,5928,3170,,,7215,,,,5621,,,9237,4316,,,1210,9146,,,7500,8218,6984,5721,,,,6735,,,9636,275.9,4195,,4007,6800,3843,3949,5945,5813,606.8,,5424,,,,,2156,,5620,,,8651,,,,8628,,4453,5841,,,,6361,,,,,,,5525,,5997,723.8,5036,,,1017,3338,1350,,,,,1842,,1144,,3625,,,5406,3159,176.2,,,,2738,4160,,
1419 | 123.0805mz | 0.93min,,,,456.3,1327,265.6,241,281.2,297.9,580.3,1013,452.2,1150,3202,511.9,,1935,1171,,1570,,7012,1482,,209.9,318.5,718.1,186.6,,7329,,2868,6169,2643,6558,5986,240.3,,185.5,6785,1339,1411,5720,314.2,5311,2245,521.1,2641,6526,225.2,5779,5773,,2486,260.3,1278,474.5,841.1,,,1432,6082,306,577.1,5109,,290.4,132.3,2844,1644,289.5,6213,,89.17,628.1,5572,981.6,403.7,1019,1568,1034,2937,4243,1106,3043,,5493,1736,,263.8,4232,3934,263.5,212.3,,2227,271.5,126.5,312.8,,4398,1523,1798,4273,4877,,,211.4,672,582,5173,219.9,
1420 | 443.2331mz | 0.93min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3209,,,,,,,,,,,,,,,,,,,3288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3126,,,,,,,,,,
1421 | TRIPECANYLAMINE | [M + H]+,,,,28540,51410,174.4,219.9,178.4,178.6,181.4,836.6,,1252,,,270.1,1377,,144200,,181.9,,2418,48090,,,1042,,90.05,,268.1,4513,,,,,398.5,253.3,,,2679,1575,,261.4,,,,,,,,,1368,4855,,1672,,1688,48970,403.5,1096,,233,507.2,,,386.2,,,484.6,,,144600,280.7,482.5,,2317,224.2,934.9,1873,1095,6681,,3361,,866.5,,,,,,,341,,137000,901.4,,,,,,1330,2267,,,714,49190,520.4,3463,,,421.2,ABVVEAHYODGCLZ
1422 | 168.1020mz | 0.94min,,,,785.8,1067,591.3,271.8,544.5,529.6,225.7,1129,,1152,1043,559.1,,1894,3041,,867.2,,7144,1899,,211.5,257,936.3,,,7488,,3450,6560,960,7189,5798,463.9,,,7215,1188,749,6361,587.4,6005,2849,742.4,1907,6922,481.8,6367,6491,,3386,233.2,2618,556.8,869.9,,,1858,6416,,1537,6050,,444.7,,4378,1627,335.4,6892,,,829.6,5781,1465,256.3,1579,2148,1274,2831,4493,1111,4412,,6062,3019,,505.9,4565,4527,347.9,,,2064,247.9,493.6,482.2,,5181,2452,1313,4996,5292,,,280.8,1058,1040,5424,272.5,
1423 | KYNURENATE | [M + H]+,,,,,,869.4,356.3,455.1,1524,329.1,,327000,,12120,53130,651.7,,13300,,20790,7441,15720,,,329900,66510,552.7,,606.3,9172,,517.1,9130,9997,10140,9993,2114,,2060,24840,6798,701.1,5431,1582,2758,7303,57620,3383,8394,53850,4478,6140,467.1,1981,65410,,,1150,,861.7,494.5,537.2,6909,,4102,6665,4257,,2876,,39910,5326,,,,1796,5919,1238,,,,1087,,1897,250.3,556.7,,111.3,6689,5840,207.3,,1541,7095,,1379,373,,6942,,,,329.6,127.5,,318.5,,,427,856.3,,718.5,HCZHHEIFKROPDY
1424 | 581.2206mz | 0.93min,,,,,,,,,,,,3679,,,9285,,,,,,,,,,3434,7696,,,,,,,,,,,,,,,,,,,,,3927,,,10380,,,,,14760,,,,,,,,,,,,,,,,11520,,,,,,,,,,,,,,,,,,,7248,,,,,,175.7,13400,,7788,,,,,,,,,,,1682,,,
